date | done | assignee | distname | dist_author
2015-07-01 | 1 | thrig | ExtUtils-MakeMaker | bingos
2015-07-01 | 1 | jamessan | Template-Flute | hornburg
2015-07-01 | 1 | leejo | perl5i | mschwern
2015-07-01 | 1 | dionys | Poet | jswartz
2015-07-01 | 1 | tudorconstantin | Archive-Tar-Wrapper | mschilli
2015-07-01 | 1 | Viviparous | Mongoose | diegok
2015-07-01 | 1 | mjg17 | Cache-Memcached-AnyEvent | dmaki
2015-07-01 | 1 | SkySymbol | MooX-Struct | tobyink
2015-07-01 | 1 | choroba | DBIx-Class-EasyFixture | ovid
2015-07-01 | 1 | bk | Net-SSH2 | salva
2015-07-01 | 1 | jluis | HTML-FormHandler | gshank
2015-07-01 | 1 | 1nickt | Net-XMPP | psixdists
2015-07-01 | 1 | lejeunerenard | Data-Frame | zmughal
2015-07-01 | 1 | garu | WWW-Facebook-API | unobe
2015-07-01 | 1 | andyjack | Syntax-Highlight-Engine-Kate | szabgab
2015-07-01 | 1 | openstrike | Authen-SASL | gbarr
2015-07-01 | 1 | bentglasstube | Spreadsheet-Read | hmbrand
2015-07-01 | 1 | labrown | Email-MIME | psixdists
2015-07-01 | 1 | mishin | Data-MessagePack | syohex
2015-07-01 | 1 | paultcochrane | Device-Gsm | cosimo
2015-07-01 | 1 | rjbs | Test-Exception | exodist
2015-07-01 | 1 | ambs | Data-Dump | psixdists
2015-07-01 | 1 | manwar | DBIx-Class-Helpers | frew
2015-07-01 | 1 | cakirke | Tie-DBI | toddr
2015-07-01 | 1 | trwww | constant-tiny | saper
2015-07-01 | 1 | yanick | Catmandu-OAI | hochsten
2015-07-01 | 1 | joenio | cpan-outdated | tokuhirom
2015-07-01 | 1 | Sweet-kid | JSON-SL | mnunberg
2015-07-01 | 1 | kappa | Encode | psixdists
2015-07-01 | 1 | brainbuz | URI | ether
2015-07-01 | 1 | veryrusty | Proc-ProcessTable | jwb
2015-07-01 | 1 | zhouzhen1 | libnet | shay
2015-07-01 | 1 | shlomif | Net-Ping-External | chorny
2015-07-01 | 1 | brianmed | HTML-Tree | cjm
2015-07-01 | 1 | oalders | Perl-Critic | thaljef
2015-07-01 | 1 | doyleyoung | MojoMojo | mramberg
2015-07-01 | 1 | monsieurp | CPAN-Reporter | dagolden
2015-07-01 | 1 | neilb | Test-Mini | neilb
2015-07-01 | 1 | gh0stwizard | Net-SSH-Perl | schwigon
2015-07-01 | 1 | laouji | Vimana | cornelius
2015-07-01 | 1 | pauloscustodio | Gedcom | pjcj
2015-07-01 | 1 | jacoby | App-perlbrew | gugod
2015-07-01 | 1 | ratcristian | AnyEvent-JSONRPC | pmakholm
2015-07-01 | 1 | zoffixznet | Daemon-Control | symkat
2015-04-01 | 1 | veryrusty | XML-Parser | toddr
2015-04-01 | 1 | mnlagrasta | Moose | ether
2015-04-01 | 1 | jamessan | XML-Twig | mirod
2015-04-01 | 1 | lancew | Finance-Quote | ecocode
2015-04-01 | 1 | nawglan | App-cpanminus-reporter | garu
2015-04-01 | 1 | adelq | JavaScript-V8 | dgl
2015-04-01 | 1 | leejo | HTML-Tree | cjm
2015-04-01 | 1 | bjakubski | ZMQ-LibZMQ2 | dmaki
2015-04-01 | 1 | sdeseille | TermReadKey | jstowe
2015-04-01 | 1 | bugdebugger | Server-Starter | kazuho
2015-04-01 | 1 | gryphonshafer | File-Assets | rkrimen
2015-04-01 | 1 | hatorikibble | Unicode-Tussle | bdfoy
2015-04-01 | 1 | pwr22 | Parse-Keyword | doy
2015-04-01 | 1 | adamherzog | Net-Netmask | muir
2015-04-01 | 1 | choroba | AnyEvent-ForkManager | karupa
2015-04-01 | 1 | garu | Mojolicious-Plugin-ServerStatus | fukai
2015-04-01 | 1 | andyjack | Mojolicious-Plugin-JSUrlFor | koorchik
2015-04-01 | 1 | zhouzhen1 | Couchbase-Client | mnunberg
2015-04-01 | 1 | timgimyee | Mojolicious-Plugin-ParamsAuth | tempire
2015-04-01 | 1 | vti | Mojolicious-Plugin-Util-Endpoint | akron
2015-04-01 | 1 | moritz | Mojolicious-Plugin-Cache | sidd
2015-04-01 | 1 | agwind | CPAN-Meta | dagolden
2015-04-01 | 1 | Sweet-kid | Catmandu | nics
2015-04-01 | 1 | Viviparous | Path-Class | kwilliams
2015-04-01 | 1 | cakirke | Pinto | thaljef
2015-04-01 | 1 | herveus | HTTP-Message | ether
2015-04-01 | 1 | openstrike | App-AltSQL | ewaters
2015-04-01 | 1 | rjbs | Text-Autoformat | neilb
2015-04-01 | 1 | lharey | Git-CPAN-Patch | yanick
2015-04-01 | 1 | spechenin | Teng | satoh
2015-04-01 | 1 | ambs | Google-ProtocolBuffers | saxjazman
2015-04-01 | 1 | zoffixznet | Test-Pretty | tokuhirom
2015-04-01 | 1 | daleevans | PocketIO | vti
2015-04-01 | 1 | paultcochrane | Net-Stripe | rconover
2015-04-01 | 1 | diocles | Fedora-Bugzilla | rsrchboy
2015-04-01 | 1 | jluis | autobox-Core | xenu
2015-04-01 | 1 | kappa | PDL-Drawing-Prima | dcmertens
2015-04-01 | 1 | yanick | Validation-Class | awncorp
2015-04-01 | 1 | doyleyoung | App-ModuleBuildTiny | leont
2015-04-01 | 1 | bayashi | Catmandu-Importer-getJSON | voj
2015-04-01 | 1 | bk | MetaCPAN-Client | mickey
2015-04-01 | 1 | mishin | Pod-Simple | marcgreen
2015-04-01 | 1 | tudorconstantin | CPAN-Mini-Inject | mithaldu
2015-04-01 | 1 | xsawyerx | Dist-Metadata | rwstauner
2015-04-01 | 1 | mjg17 | Dancer-Plugin-Auth-Extensible | bigpresh
2015-04-01 | 1 | thrig | HTML-FillInForm | markstos
2015-04-01 | 1 | harris901 | Geo-Coder-Google | arcanez
2015-04-01 | 1 | manwar | Date-Manip | sbeck
2015-04-01 | 1 | shlomif | MojoX-JSON-RPC | henryykt
2015-04-01 | 1 | devogon | Reflex | rcaputo
2015-04-01 | 1 | kaoru | Jemplate | ingy
2015-04-01 | 1 | neilb | VSO | johnd
2015-04-01 | 1 | mcmillhj | Parse-CPAN-Meta | dagolden
2015-04-01 | 1 | athos-ribeiro | Promises | stevan
2015-04-01 | 1 | joenio | Data-Compare | dcantrell
2015-04-01 | 1 | internaught | WebService-UrbanDictionary | woodruffw
2015-04-01 | 1 | bieron | Web-Hippie | clkao
2015-04-01 | 1 | dolmen | Time-Piece | esaym
2015-08-01 | 1 | oalders | libwww-perl | capoeirab
2015-08-01 | 1 | pauloscustodio | Archive-Zip | phred
2015-08-01 | 1 | yanick | Template-Toolkit | abw
2015-08-01 | 1 | mjg17 | Net-SSH-Perl | schwigon
2015-08-01 | 1 | fluca1978 | XML-Parser | toddr
2015-08-01 | 1 | brianmed | Net-Ping-External | chorny
2015-08-01 | 1 | veryrusty | XML-Compare | neilb
2015-08-01 | 1 | Sweet-kid | SQL-Translator | ilmari
2015-08-01 | 1 | garu | Finance-Quote | ecocode
2015-08-01 | 1 | manwar | Dist-Zilla | rjbs
2015-08-01 | 1 | mnlagrasta | App-cpanminus-reporter | garu
2015-08-01 | 1 | lharey | HTML-Lint | petdance
2015-08-01 | 1 | paultcochrane | Template-Flute | hornburg
2015-08-01 | 1 | bk | Module-Signature | audreyt
2015-08-01 | 1 | zhouzhen1 | TimeDate | gbarr
2015-08-01 | 1 | elmerq | Rex | ferki
2015-08-01 | 1 | andyjack | Crypt-OpenPGP | sromanov
2015-08-01 | 1 | leejo | RT-Authen-ExternalAuth | falcone
2015-08-01 | 1 | joenio | Module-CPANTS-Analyse | ishigaki
2015-08-01 | 1 | jluis | Type-Tiny | tobyink
2015-08-01 | 1 | Viviparous | CGI-Session | markstos
2015-08-01 | 1 | sjohnston | Enbugger | jjore
2015-08-01 | 1 | devogon | CHI | jswartz
2015-08-01 | 1 | mishin | ZMQ-LibZMQ2 | dmaki
2015-08-01 | 1 | jamessan | Vimana | cornelius
2015-08-01 | 1 | ratcristian | Mongoose | diegok
2015-08-01 | 1 | lejeunerenard | Pod-Simple | marcgreen
2015-08-01 | 1 | shlomif | TermReadKey | jstowe
2015-08-01 | 1 | ambs | XML-Twig | mirod
2015-08-01 | 1 | cakirke | Box-Calc | rizen
2015-08-01 | 1 | jmaslak | Test-Continuous | gugod
2015-08-01 | 1 | zoffixznet | Win32-Process | jdb
2015-08-01 | 1 | rjbs | Code-TidyAll | drolsky
2015-08-01 | 1 | kappa | Number-Format | wrw
2015-08-01 | 1 | kaoru | Reindeer | rsrchboy
2015-08-01 | 1 | choroba | Test-Aggregate | rwstauner
2015-08-01 | 1 | openstrike | LWP-Protocol-https | mschilli
2015-08-01 | 1 | shuwnyuantee | Net-Google-Spreadsheets | danjou
2015-08-01 | 1 | neilb | Time-Progress | cade
2015-08-01 | 1 | monsieurp | Child | exodist
2015-08-01 | 1 | brainbuz | Time-ParseDate | muir
2015-08-01 | 1 | bentglasstube | Pod-Browser | perler
2015-12-01 | 0 | jacoby | libwww-perl | capoeirab
2015-12-01 | 1 | yanick | Net-SSH-Perl | schwigon
2015-12-01 | 1 | bpa | Finance-Quote | ecocode
2015-12-01 | 0 | rvandam | IPC-Run | toddr
2015-12-01 | 1 | oeuftete | SOAP-Lite | phred
2015-12-01 | 0 | turnstep | MojoMojo | mramberg
2015-12-01 | 1 | mbeijen | PDF-API2 | ssimms
2015-12-01 | 1 | andyjack | Enbugger | jjore
