date | assignee | distname | state | pr
2015-07-01 | thrig | ExtUtils-MakeMaker | merged | /pull/227
2015-07-01 | leejo | perl5i | open | /pull/290
2015-07-01 | dionys | Poet | open | /pull/11
2015-07-01 | dionys | Poet | open | /pull/10
2015-07-01 | dionys | Poet | open | /pull/9
2015-07-01 | tudorconstantin | Archive-Tar-Wrapper | closed | /pull/9
2015-07-01 | Viviparous | Mongoose | open | /pull/41
2015-07-01 | mjg17 | Cache-Memcached-AnyEvent | merged | /pull/5
2015-07-01 | SkySymbol | MooX-Struct | open | /pull/1
2015-07-01 | choroba | DBIx-Class-EasyFixture | open | /pull/9
2015-07-01 | bk | Net-SSH2 | merged | /pull/24
2015-07-01 | jluis | HTML-FormHandler | merged | /pull/103
2015-07-01 | jluis | HTML-FormHandler | closed | /pull/102
2015-07-01 | jluis | HTML-FormHandler | open | /pull/101
2015-07-01 | lejeunerenard | Data-Frame | open | /pull/21
2015-07-01 | garu | WWW-Facebook-API | open | /pull/4
2015-07-01 | garu | WWW-Facebook-API | open | /pull/3
2015-07-01 | andyjack | Syntax-Highlight-Engine-Kate | merged | /pull/10
2015-07-01 | openstrike | Authen-SASL | open | /pull/6
2015-07-01 | openstrike | Authen-SASL | open | /pull/5
2015-07-01 | openstrike | Authen-SASL | open | /pull/4
2015-07-01 | bentglasstube | Spreadsheet-Read | merged | /pull/6
2015-07-01 | labrown | Email-MIME | merged | /pull/25
2015-07-01 | mishin | Data-MessagePack | merged | /pull/19
2015-07-01 | paultcochrane | Device-Gsm | merged | /pull/15
2015-07-01 | paultcochrane | Device-Gsm | merged | /pull/14
2015-07-01 | paultcochrane | Device-Gsm | merged | /pull/13
2015-07-01 | paultcochrane | Device-Gsm | merged | /pull/12
2015-07-01 | paultcochrane | Device-Gsm | merged | /pull/11
2015-07-01 | paultcochrane | Device-Gsm | merged | /pull/10
2015-07-01 | paultcochrane | Device-Gsm | merged | /pull/9
2015-07-01 | paultcochrane | Device-Gsm | merged | /pull/8
2015-07-01 | paultcochrane | Device-Gsm | open | /pull/7
2015-07-01 | paultcochrane | Device-Gsm | open | /pull/6
2015-07-01 | paultcochrane | Device-Gsm | merged | /pull/5
2015-07-01 | paultcochrane | Device-Gsm | merged | /pull/4
2015-07-01 | paultcochrane | Device-Gsm | merged | /pull/3
2015-07-01 | paultcochrane | Device-Gsm | merged | /pull/2
2015-07-01 | rjbs | Test-Exception | merged | /pull/10
2015-07-01 | ambs | Data-Dump | open | /pull/14
2015-07-01 | manwar | DBIx-Class-Helpers | closed | /pull/50
2015-07-01 | cakirke | Tie-DBI | open | /pull/3
2015-07-01 | cakirke | Tie-DBI | open | /pull/2
2015-07-01 | trwww | constant-tiny | merged | /pull/3
2015-07-01 | trwww | constant-tiny | merged | /pull/2
